"","gu","도시피해면적","시설용량","유출관크기면적","불투수면적","저지대율"
"1","해운대구",-0.407229834757779,1.43991132568342,0.63860186466022,-0.828486772894529,0.0668538417257835
"2","중구",-0.407229834757779,-0.486777396037539,-0.419981406488253,2.04258860022349,1.35376301452689
"3","영도구",-0.407229834757779,-1.13471631967036,-0.880235002639763,1.04480573139511,0.688045430175483
"4","연제구",-0.407229834757779,-0.457182728787788,-0.419981406488253,1.00087055235989,0.698546045303846
"5","수영구",-0.407229834757779,-1.70384453601172,-1.34048859879127,0.876497017711335,1.01102605059165
"6","서구",-0.407229834757779,-1.02631094512915,-0.604082844948857,0.822557480988433,-0.854462212245598
"7","사하구",-0.407229834757779,0.599769672989025,0.776677943505673,0.506864160463367,0.765462719781843
"8","사상구",-0.407229834757779,-0.66315294041609,-1.70869147571248,0.202256604997538,0.117839023316356
"9","북구",-0.407229834757779,-1.21060008184921,-0.373956046873102,0.196760834881187,-0.852283322682065
"10","부산진구",-0.407229834757779,-0.321676010611273,-0.512032125718555,-0.0704843216732723,-0.613462220817025
"11","동래구",-0.407229834757779,0.0848441439182701,-0.604082844948857,-0.194126178094622,-1.61500263434462
"12","동구",-0.407229834757779,0.901949654522653,0.408475066584465,-0.736070819530025,-1.61500263434462
"13","남구",-0.407229834757779,0.301654893000693,0.914754022351126,-0.904633470713815,1.14356470157777
"14","기장군",-0.407229834757779,1.00628982751857,1.55910905696324,-1.01627517748188,-0.7752060370852
"15","금정구",-0.407229834757779,1.18244856114804,0.592576505045069,-1.182818960813,-0.802151794965777
"16","강서구",-0.35107691732928,1.48739287973247,1.9733372934996,-1.7603052818192,1.28247002948528
